Timestamp,ReceptionTime,Timestamp,O2Concentration_4330f,AirSaturation_4330f,Temperature_4330f,CalPhase_4330f,TCPhase_4330f,C1RPh_4330f,C2RPh_4330f,C1Amp_4330f,C2Amp_4330f,RawTemp_4330f
1425308662.0,2015-03-12 17:36:55.876683,2015-03-02 15:04:22.915000,274.253,96.643,19.969,28.012,30.408,34.288,3.88,339.0,487.1,295.3
1425308663.0,2015-03-12 17:36:56.905683,2015-03-02 15:04:23.944000,280.644,98.895,19.969,27.762,30.168,34.136,3.967,339.0,486.7,295.3
1425308664.0,2015-03-12 17:36:57.939895,2015-03-02 15:04:24.974000,280.644,98.895,19.969,27.762,30.168,34.136,3.967,339.0,486.7,295.3
1425308666.0,2015-03-12 17:36:59.391557,2015-03-02 15:04:26.432000,274.789,96.832,19.97,27.991,30.388,34.284,3.897,338.7,486.6,295.3
1425308667.0,2015-03-12 17:37:00.450682,2015-03-02 15:04:27.459000,274.789,96.832,19.97,27.991,30.388,34.284,3.897,338.7,486.6,295.3
1425308668.0,2015-03-12 17:37:01.492082,2015-03-02 15:04:28.532000,277.518,97.794,19.97,27.884,30.285,34.205,3.921,339.6,486.5,295.3
1425308669.0,2015-03-12 17:37:02.516719,2015-03-02 15:04:29.557000,277.435,97.765,19.97,27.887,30.288,34.223,3.935,339.5,486.4,295.3
1425308670.0,2015-03-12 17:37:03.540675,2015-03-02 15:04:30.581000,280.413,98.814,19.97,27.771,30.177,34.099,3.922,339.4,486.8,295.3
1425308671.0,2015-03-12 17:37:04.559692,2015-03-02 15:04:31.606000,279.401,98.458,19.97,27.81,30.214,34.115,3.9,339.6,487.1,295.3
1425308672.0,2015-03-12 17:37:05.606857,2015-03-02 15:04:32.638000,275.909,97.228,19.97,27.947,30.345,34.24,3.895,339.5,486.4,295.3
1425308674.0,2015-03-12 17:37:07.053834,2015-03-02 15:04:34.097000,275.206,96.98,19.97,27.974,30.372,34.292,3.921,339.7,486.5,295.3
1425308675.0,2015-03-12 17:37:08.080409,2015-03-02 15:04:35.125000,275.767,97.178,19.97,27.952,30.35,34.231,3.88,339.2,486.9,295.3
1425308676.0,2015-03-12 17:37:09.110537,2015-03-02 15:04:36.149000,275.767,97.178,19.97,27.952,30.35,34.231,3.88,339.2,486.9,295.3
1425308677.0,2015-03-12 17:37:10.140561,2015-03-02 15:04:37.183000,279.325,98.432,19.97,27.813,30.217,34.167,3.95,339.5,486.9,295.3
1425308678.0,2015-03-12 17:37:11.165648,2015-03-02 15:04:38.208000,278.354,98.09,19.97,27.851,30.253,34.161,3.908,339.7,486.8,295.3
1425308679.0,2015-03-12 17:37:12.189534,2015-03-02 15:04:39.232000,276.506,97.439,19.97,27.923,30.322,34.232,3.91,339.2,486.5,295.2
1425308680.0,2015-03-12 17:37:13.222309,2015-03-02 15:04:40.262000,275.41,97.053,19.971,27.966,30.364,34.269,3.905,339.4,486.8,295.2
1425308681.0,2015-03-12 17:37:14.673716,2015-03-02 15:04:41.716000,276.32,97.373,19.971,27.93,30.329,34.216,3.886,338.5,486.8,295.2
1425308682.0,2015-03-12 17:37:15.705432,2015-03-02 15:04:42.743000,277.494,97.788,19.971,27.884,30.285,34.184,3.899,338.9,487.0,295.2
1425308683.0,2015-03-12 17:37:16.733516,2015-03-02 15:04:43.768000,277.494,97.788,19.971,27.884,30.285,34.184,3.899,338.9,487.0,295.2
1425308684.0,2015-03-12 17:37:17.773554,2015-03-02 15:04:44.798000,274.134,96.604,19.971,28.017,30.412,34.329,3.917,339.7,486.9,295.2
1425308685.0,2015-03-12 17:37:18.797235,2015-03-02 15:04:45.837000,275.509,97.088,19.971,27.962,30.36,34.266,3.906,339.9,486.8,295.2
1425308686.0,2015-03-12 17:37:19.828454,2015-03-02 15:04:46.869000,277.053,97.632,19.971,27.902,30.302,34.231,3.93,339.3,486.3,295.2
1425308687.0,2015-03-12 17:37:20.851084,2015-03-02 15:04:47.893000,274.444,96.713,19.971,28.004,30.4,34.303,3.903,339.6,486.7,295.2
1425308688.0,2015-03-12 17:37:21.878902,2015-03-02 15:04:48.919000,276.251,97.35,19.971,27.933,30.332,34.235,3.904,339.5,486.4,295.2
1425308689.0,2015-03-12 17:37:22.908008,2015-03-02 15:04:49.946000,276.251,97.35,19.971,27.933,30.332,34.235,3.904,339.5,486.4,295.2
1425308690.0,2015-03-12 17:37:23.939110,2015-03-02 15:04:50.976000,276.122,97.305,19.971,27.938,30.336,34.229,3.892,339.5,486.6,295.2
1425308692.0,2015-03-12 17:37:24.967559,2015-03-02 15:04:52.005000,277.123,97.658,19.971,27.899,30.299,34.215,3.916,339.5,486.5,295.2
1425308693.0,2015-03-12 17:37:25.991915,2015-03-02 15:04:53.030000,277.225,97.694,19.971,27.894,30.295,34.167,3.873,339.5,486.6,295.2
1425308694.0,2015-03-12 17:37:27.018458,2015-03-02 15:04:54.056000,277.403,97.757,19.972,27.887,30.288,34.189,3.901,339.1,486.3,295.2
1425308695.0,2015-03-12 17:37:28.043120,2015-03-02 15:04:55.081000,277.044,97.631,19.972,27.902,30.302,34.219,3.917,339.0,486.8,295.2
1425308696.0,2015-03-12 17:37:29.485888,2015-03-02 15:04:56.524000,273.066,96.229,19.972,28.059,30.452,34.331,3.878,340.3,486.7,295.2
1425308697.0,2015-03-12 17:37:30.521278,2015-03-02 15:04:57.550000,276.329,97.379,19.972,27.929,30.328,34.218,3.89,339.7,486.9,295.2
1425308698.0,2015-03-12 17:37:31.556645,2015-03-02 15:04:58.594000,276.329,97.379,19.972,27.929,30.328,34.218,3.89,339.7,486.9,295.2
1425308699.0,2015-03-12 17:37:32.590525,2015-03-02 15:04:59.629000,275.165,96.969,19.972,27.975,30.372,34.288,3.915,338.9,486.7,295.2
1425308700.0,2015-03-12 17:37:33.618180,2015-03-02 15:05:00.654000,275.335,97.029,19.972,27.969,30.366,34.279,3.913,339.2,486.9,295.2
1425308701.0,2015-03-12 17:37:34.644473,2015-03-02 15:05:01.682000,275.909,97.231,19.972,27.946,30.344,34.269,3.924,339.5,486.6,295.2
1425308702.0,2015-03-12 17:37:35.671817,2015-03-02 15:05:02.711000,274.711,96.809,19.972,27.993,30.39,34.266,3.876,339.4,486.6,295.2
1425308704.0,2015-03-12 17:37:37.117882,2015-03-02 15:05:04.156000,274.021,96.566,19.972,28.021,30.416,34.327,3.912,340.6,486.3,295.2
1425308705.0,2015-03-12 17:37:38.142770,2015-03-02 15:05:05.182000,278.003,97.97,19.972,27.864,30.266,34.161,3.895,338.9,486.8,295.2
1425308706.0,2015-03-12 17:37:39.170261,2015-03-02 15:05:06.208000,278.003,97.97,19.972,27.864,30.266,34.161,3.895,338.9,486.8,295.2
1425308707.0,2015-03-12 17:37:40.204895,2015-03-02 15:05:07.239000,276.133,97.311,19.972,27.937,30.336,34.261,3.926,338.9,486.6,295.2
1425308708.0,2015-03-12 17:37:41.231392,2015-03-02 15:05:08.271000,275.82,97.201,19.972,27.949,30.347,34.227,3.879,339.6,486.2,295.2
1425308709.0,2015-03-12 17:37:42.990124,2015-03-02 15:05:09.296000,275.208,96.985,19.973,27.973,30.37,34.284,3.914,339.0,486.9,295.2
1425308710.0,2015-03-12 17:37:43.288539,2015-03-02 15:05:10.327000,277.778,97.891,19.973,27.872,30.274,34.176,3.902,340.1,486.9,295.2
1425308711.0,2015-03-12 17:37:44.733056,2015-03-02 15:05:11.774000,275.649,97.141,19.973,27.956,30.354,34.23,3.876,340.3,486.5,295.2
1425308712.0,2015-03-12 17:37:45.762016,2015-03-02 15:05:12.800000,275.913,97.234,19.973,27.945,30.344,34.228,3.884,339.7,486.4,295.2
1425308713.0,2015-03-12 17:37:46.785274,2015-03-02 15:05:13.824000,275.023,96.921,19.973,27.981,30.377,34.295,3.918,338.7,486.4,295.2
1425308714.0,2015-03-12 17:37:47.814139,2015-03-02 15:05:14.849000,275.023,96.921,19.973,27.981,30.377,34.295,3.918,338.7,486.4,295.2
1425308715.0,2015-03-12 17:37:48.856226,2015-03-02 15:05:15.895000,277.011,97.622,19.973,27.902,30.302,34.212,3.91,338.9,486.7,295.2
1425308717.0,2015-03-12 17:37:50.319831,2015-03-02 15:05:17.357000,277.222,97.696,19.973,27.894,30.294,34.21,3.915,339.4,486.2,295.2
1425308718.0,2015-03-12 17:37:51.349594,2015-03-02 15:05:18.392000,274.278,96.659,19.973,28.01,30.406,34.29,3.884,339.7,486.6,295.2
1425308719.0,2015-03-12 17:37:52.393126,2015-03-02 15:05:19.431000,275.775,97.187,19.973,27.951,30.349,34.265,3.916,339.4,486.3,295.2
1425308720.0,2015-03-12 17:37:53.416500,2015-03-02 15:05:20.455000,275.463,97.077,19.973,27.963,30.361,34.266,3.906,338.6,486.6,295.2
1425308721.0,2015-03-12 17:37:54.445419,2015-03-02 15:05:21.486000,275.453,97.073,19.973,27.963,30.361,34.271,3.91,339.7,486.5,295.2
1425308722.0,2015-03-12 17:37:55.898680,2015-03-02 15:05:22.937000,279.935,98.653,19.973,27.788,30.193,34.118,3.925,340.4,486.5,295.2
1425308723.0,2015-03-12 17:37:56.927914,2015-03-02 15:05:23.966000,274.133,96.608,19.974,28.016,30.411,34.339,3.928,339.2,486.6,295.1
1425308724.0,2015-03-12 17:37:57.952568,2015-03-02 15:05:24.991000,277.511,97.799,19.974,27.883,30.284,34.177,3.893,339.4,486.8,295.1
1425308726.0,2015-03-12 17:37:58.986302,2015-03-02 15:05:26.020000,277.511,97.799,19.974,27.883,30.284,34.177,3.893,339.4,486.8,295.1
1425308727.0,2015-03-12 17:38:00.456136,2015-03-02 15:05:27.483000,279.057,98.344,19.974,27.822,30.226,34.129,3.903,340.0,486.7,295.1
1425308728.0,2015-03-12 17:38:01.486473,2015-03-02 15:05:28.521000,279.057,98.344,19.974,27.822,30.226,34.129,3.903,340.0,486.7,295.1
1425308729.0,2015-03-12 17:38:02.514616,2015-03-02 15:05:29.553000,280.405,98.819,19.974,27.77,30.175,34.134,3.958,339.1,486.4,295.1
1425308730.0,2015-03-12 17:38:03.542769,2015-03-02 15:05:30.581000,275.673,97.152,19.974,27.954,30.352,34.271,3.918,339.2,486.8,295.1
1425308731.0,2015-03-12 17:38:04.565504,2015-03-02 15:05:31.605000,277.727,97.876,19.974,27.874,30.275,34.19,3.915,339.0,486.6,295.1
1425308732.0,2015-03-12 17:38:05.591361,2015-03-02 15:05:32.631000,278.106,98.01,19.974,27.859,30.261,34.209,3.948,339.4,486.4,295.1
1425308733.0,2015-03-12 17:38:06.623406,2015-03-02 15:05:33.661000,278.517,98.155,19.974,27.843,30.246,34.136,3.891,339.5,486.1,295.1
